ABC Analysis,,,,,,,,,
,,,,,,,,,
,SKU,Total Sales,% Annual Value,Annual Cumulative Value,% Annual Cumulative Value,ABC Codes,,ABC Code,Items
,TEC-PH-10004614,1614.6,0.07%,1769691.43,77.04%,C,,,
,FUR-CH-10002439,1589.41,0.07%,1771280.84,77.11%,C,,,
,TEC-PH-10004120,1589.08,0.07%,1772869.92,77.18%,C,,,
,TEC-PH-10001425,1583.81,0.07%,1774453.73,77.24%,C,,,
,FUR-FU-10000308,1579.37,0.07%,1776033.1,77.31%,C,,,
,TEC-AC-10004469,1574.03,0.07%,1777607.13,77.38%,C,,,
,OFF-BI-10001071,1573.91,0.07%,1779181.04,77.45%,C,,,
,FUR-BO-10001608,1570.08,0.07%,1780751.12,77.52%,C,,,
,OFF-PA-10000675,1565.81,0.07%,1782316.93,77.59%,C,,,
,OFF-EN-10000056,1555.75,0.07%,1783872.68,77.65%,C,,,
,FUR-FU-10003192,1545.82,0.07%,1785418.5,77.72%,C,,,
,TEC-PH-10004536,1538.89,0.07%,1786957.39,77.79%,C,,,
,OFF-AP-10003217,1524.53,0.07%,1788481.92,77.85%,C,,,
,FUR-CH-10004875,1501.9,0.07%,1789983.82,77.92%,C,,,
,TEC-PH-10002645,1499.97,0.07%,1791483.79,77.99%,C,,,
,TEC-AC-10002076,1497,0.07%,1792980.79,78.05%,C,,,
,TEC-AC-10000109,1489.33,0.06%,1794470.12,78.12%,C,,,
,FUR-BO-10003546,1474.31,0.06%,1795944.43,78.18%,C,,,
,FUR-BO-10003441,1473.3,0.06%,1797417.73,78.24%,C,,,
,OFF-AP-10003779,1473.11,0.06%,1798890.84,78.31%,C,,,
,FUR-FU-10003394,1469.16,0.06%,1800360,78.37%,C,,,
,TEC-PH-10002468,1468.68,0.06%,1801828.68,78.44%,C,,,
,OFF-ST-10001272,1465.75,0.06%,1803294.43,78.50%,C,,,
,FUR-CH-10003061,1448.85,0.06%,1804743.28,78.56%,C,,,
,OFF-ST-10004337,1445.26,0.06%,1806188.54,78.63%,C,,,
,TEC-PH-10004241,1439.97,0.06%,1807628.51,78.69%,C,,,
,FUR-FU-10004848,1438.13,0.06%,1809066.64,78.75%,C,,,
,FUR-CH-10002961,1437.48,0.06%,1810504.12,78.81%,C,,,
,FUR-TA-10002622,1436.24,0.06%,1811940.36,78.88%,C,,,
,OFF-PA-10001033,1434.65,0.06%,1813375.01,78.94%,C,,,
,FUR-FU-10000293,1431.94,0.06%,1814806.95,79.00%,C,,,
,FUR-BO-10003966,1427.69,0.06%,1816234.64,79.06%,C,,,
,FUR-BO-10004709,1426.88,0.06%,1817661.52,79.13%,C,,,
,OFF-ST-10000563,1426.31,0.06%,1819087.83,79.19%,C,,,
,FUR-CH-10001891,1420.5,0.06%,1820508.33,79.25%,C,,,
,TEC-AC-10002926,1409.71,0.06%,1821918.04,79.31%,C,,,
,TEC-AC-10003628,1409.52,0.06%,1823327.56,79.37%,C,,,
,OFF-ST-10004804,1400.26,0.06%,1824727.82,79.43%,C,,,
,TEC-AC-10000420,1399.8,0.06%,1826127.62,79.49%,C,,,
,FUR-CH-10003535,1396.44,0.06%,1827524.06,79.55%,C,,,
,TEC-MA-10003626,1396.21,0.06%,1828920.27,79.62%,C,,,
,TEC-PH-10002352,1394.95,0.06%,1830315.22,79.68%,C,,,
,TEC-MA-10002178,1391.4,0.06%,1831706.62,79.74%,C,,,
,TEC-PH-10004434,1386.69,0.06%,1833093.31,79.80%,C,,,
,TEC-PH-10001750,1385.8,0.06%,1834479.11,79.86%,C,,,
,OFF-AP-10002311,1383.09,0.06%,1835862.2,79.92%,C,,,
,TEC-MA-10004212,1379.92,0.06%,1837242.12,79.98%,C,,,
,FUR-BO-10003893,1368.26,0.06%,1838610.38,80.04%,C,,,
,OFF-ST-10003656,1363.06,0.06%,1839973.44,80.10%,C,,,
,TEC-MA-10003230,1362.9,0.06%,1841336.34,80.16%,C,,,
,OFF-EN-10003001,1360.48,0.06%,1842696.82,80.21%,C,,,
,OFF-EN-10002230,1359.67,0.06%,1844056.49,80.27%,C,,,
,TEC-MA-10003183,1343.91,0.06%,1845400.4,80.33%,C,,,
,FUR-CH-10003968,1341.51,0.06%,1846741.91,80.39%,C,,,
,TEC-PH-10001061,1339.87,0.06%,1848081.78,80.45%,C,,,
,TEC-PH-10002890,1339.11,0.06%,1849420.89,80.51%,C,,,
,FUR-FU-10004188,1329.9,0.06%,1850750.79,80.57%,C,,,
,FUR-FU-10003708,1322.17,0.06%,1852072.96,80.62%,C,,,
,OFF-PA-10001878,1320.57,0.06%,1853393.53,80.68%,C,,,
,FUR-BO-10002598,1320.23,0.06%,1854713.76,80.74%,C,,,
,OFF-AP-10000179,1320.17,0.06%,1856033.93,80.80%,C,,,
,FUR-CH-10002372,1311.88,0.06%,1857345.81,80.85%,C,,,
,TEC-PH-10004389,1310.3,0.06%,1858656.11,80.91%,C,,,
,FUR-FU-10003773,1304.13,0.06%,1859960.24,80.97%,C,,,
,FUR-TA-10004175,1296.03,0.06%,1861256.27,81.02%,C,,,
,OFF-BI-10002867,1291.25,0.06%,1862547.52,81.08%,C,,,
,OFF-ST-10000129,1287.95,0.06%,1863835.47,81.14%,C,,,
,TEC-MA-10004241,1286.85,0.06%,1865122.32,81.19%,C,,,
,TEC-PH-10001305,1283.54,0.06%,1866405.86,81.25%,C,,,
,OFF-ST-10002554,1281.45,0.06%,1867687.31,81.30%,C,,,
,OFF-PA-10001289,1279.08,0.06%,1868966.39,81.36%,C,,,
,FUR-FU-10004071,1268.92,0.06%,1870235.31,81.41%,C,,,
,FUR-CH-10002758,1268.69,0.06%,1871504,81.47%,C,,,
,OFF-EN-10003296,1266.72,0.06%,1872770.72,81.52%,C,,,
,FUR-FU-10004017,1264.58,0.06%,1874035.3,81.58%,C,,,
,FUR-BO-10001798,1263.96,0.06%,1875299.26,81.63%,C,,,
,TEC-PH-10001809,1259.58,0.05%,1876558.84,81.69%,C,,,
,TEC-AC-10001539,1247.84,0.05%,1877806.68,81.74%,C,,,
,OFF-AP-10000026,1243.78,0.05%,1879050.46,81.80%,C,,,
,FUR-CH-10003846,1242.06,0.05%,1880292.52,81.85%,C,,,
,OFF-ST-10001837,1240.04,0.05%,1881532.56,81.91%,C,,,
,OFF-LA-10003510,1233.41,0.05%,1882765.97,81.96%,C,,,
,TEC-AC-10002473,1231.69,0.05%,1883997.66,82.01%,C,,,
,FUR-TA-10004147,1231.56,0.05%,1885229.22,82.07%,C,,,
,TEC-PH-10003437,1229.83,0.05%,1886459.05,82.12%,C,,,
,TEC-AC-10001314,1229.76,0.05%,1887688.81,82.17%,C,,,
,OFF-PA-10003228,1222.75,0.05%,1888911.56,82.23%,C,,,
,TEC-PH-10000673,1221.82,0.05%,1890133.38,82.28%,C,,,
,OFF-BI-10000632,1219.83,0.05%,1891353.21,82.33%,C,,,
,OFF-BI-10001597,1217.1,0.05%,1892570.31,82.39%,C,,,
,TEC-MA-10002210,1212.71,0.05%,1893783.02,82.44%,C,,,
,OFF-AP-10001242,1207.19,0.05%,1894990.21,82.49%,C,,,
,FUR-FU-10002918,1200.93,0.05%,1896191.14,82.54%,C,,,
,OFF-ST-10002974,1193.81,0.05%,1897384.95,82.60%,C,,,
,OFF-ST-10001469,1187.56,0.05%,1898572.51,82.65%,C,,,
,FUR-FU-10000965,1184.23,0.05%,1899756.74,82.70%,C,,,
,TEC-AC-10001465,1184.03,0.05%,1900940.77,82.75%,C,,,
,OFF-BI-10003718,1180.7,0.05%,1902121.47,82.80%,C,,,
,OFF-AR-10002135,1166.44,0.05%,1903287.91,82.85%,C,,,
,TEC-PH-10000455,1159.9,0.05%,1904447.81,82.90%,C,,,
,TEC-AC-10001552,1154.67,0.05%,1905602.48,82.95%,C,,,
,TEC-PH-10002789,1154.32,0.05%,1906756.8,83.00%,C,,,
,TEC-AC-10003610,1139.81,0.05%,1907896.61,83.05%,C,,,
,TEC-PH-10001700,1135.02,0.05%,1909031.63,83.10%,C,,,
,OFF-ST-10000675,1125.14,0.05%,1910156.77,83.15%,C,,,
,TEC-PH-10001051,1119.9,0.05%,1911276.67,83.20%,C,,,
,TEC-PH-10002170,1119.83,0.05%,1912396.5,83.25%,C,,,
,FUR-BO-10001519,1119.2,0.05%,1913515.7,83.30%,C,,,
,FUR-FU-10004091,1117.43,0.05%,1914633.13,83.35%,C,,,
,OFF-ST-10000532,1115.92,0.05%,1915749.05,83.39%,C,,,
,FUR-FU-10000723,1115.63,0.05%,1916864.68,83.44%,C,,,
,FUR-FU-10001979,1114.39,0.05%,1917979.07,83.49%,C,,,
,OFF-AR-10002671,1113.02,0.05%,1919092.09,83.54%,C,,,
,TEC-PH-10002726,1112.79,0.05%,1920204.88,83.59%,C,,,
,TEC-AC-10004353,1108.8,0.05%,1921313.68,83.64%,C,,,
,OFF-PA-10000474,1105.73,0.05%,1922419.41,83.69%,C,,,
,OFF-PA-10001125,1102.89,0.05%,1923522.3,83.73%,C,,,
,OFF-BI-10000977,1100.48,0.05%,1924622.78,83.78%,C,,,
,OFF-BI-10004593,1100.4,0.05%,1925723.18,83.83%,C,,,
,OFF-PA-10003302,1098.64,0.05%,1926821.82,83.88%,C,,,
,OFF-PA-10004071,1098.51,0.05%,1927920.33,83.92%,C,,,
,OFF-PA-10000806,1097.21,0.05%,1929017.54,83.97%,C,,,
,OFF-BI-10004224,1089.93,0.05%,1930107.47,84.02%,C,,,
,FUR-TA-10004152,1088.64,0.05%,1931196.11,84.07%,C,,,
,FUR-CH-10001190,1087.92,0.05%,1932284.03,84.11%,C,,,
,TEC-AC-10004568,1086.01,0.05%,1933370.04,84.16%,C,,,
,TEC-PH-10004922,1085.24,0.05%,1934455.28,84.21%,C,,,
,OFF-BI-10002735,1073.91,0.05%,1935529.19,84.26%,C,,,
,OFF-AP-10001293,1073.67,0.05%,1936602.86,84.30%,C,,,
,OFF-ST-10001418,1073.25,0.05%,1937676.11,84.35%,C,,,
,OFF-AR-10001953,1073.12,0.05%,1938749.23,84.40%,C,,,
,OFF-ST-10000877,1072.63,0.05%,1939821.86,84.44%,C,,,
,FUR-BO-10004690,1072.34,0.05%,1940894.2,84.49%,C,,,
,TEC-PH-10002398,1070.3,0.05%,1941964.5,84.54%,C,,,
,FUR-BO-10000330,1064.62,0.05%,1943029.12,84.58%,C,,,
,OFF-ST-10003692,1053.03,0.05%,1944082.15,84.63%,C,,,
,OFF-ST-10003282,1051.78,0.05%,1945133.93,84.67%,C,,,
,FUR-FU-10002253,1047.73,0.05%,1946181.66,84.72%,C,,,
,OFF-AP-10004540,1042.08,0.05%,1947223.74,84.77%,C,,,
,TEC-PH-10004531,1041.82,0.05%,1948265.56,84.81%,C,,,
,OFF-BI-10002082,1041.67,0.05%,1949307.23,84.86%,C,,,
,FUR-TA-10003469,1040.63,0.05%,1950347.86,84.90%,C,,,
,TEC-AC-10000580,1039.87,0.05%,1951387.73,84.95%,C,,,
,TEC-MA-10004552,1035.8,0.05%,1952423.53,84.99%,C,,,
,TEC-MA-10003176,1029.6,0.04%,1953453.13,85.04%,C,,,
,OFF-AP-10001564,1023.35,0.04%,1954476.48,85.08%,C,,,
,OFF-PA-10000482,1016.79,0.04%,1955493.27,85.13%,C,,,
,FUR-BO-10001918,1014.18,0.04%,1956507.45,85.17%,C,,,
,TEC-MA-10002937,1007.98,0.04%,1957515.43,85.21%,C,,,
,TEC-AC-10002942,1007.4,0.04%,1958522.83,85.26%,C,,,
,FUR-TA-10000849,1007.26,0.04%,1959530.09,85.30%,C,,,
,OFF-PA-10002377,1004.64,0.04%,1960534.73,85.34%,C,,,
,FUR-FU-10004904,1002.93,0.04%,1961537.66,85.39%,C,,,
,FUR-FU-10000747,1002.36,0.04%,1962540.02,85.43%,C,,,
,TEC-PH-10001918,1000.73,0.04%,1963540.75,85.48%,C,,,
,OFF-ST-10000604,980.23,0.04%,1964520.98,85.52%,C,,,
,OFF-PA-10003641,970.78,0.04%,1965491.76,85.56%,C,,,
,FUR-CH-10003761,969.25,0.04%,1966461.01,85.60%,C,,,
,FUR-CH-10001802,967.85,0.04%,1967428.86,85.64%,C,,,
,OFF-PA-10001815,960.8,0.04%,1968389.66,85.69%,C,,,
,OFF-PA-10001497,956.3,0.04%,1969345.96,85.73%,C,,,
,OFF-ST-10001713,953.81,0.04%,1970299.77,85.77%,C,,,
,OFF-AP-10001563,952.16,0.04%,1971251.93,85.81%,C,,,
,FUR-FU-10003553,949.02,0.04%,1972200.95,85.85%,C,,,
,OFF-AP-10001271,948.23,0.04%,1973149.18,85.89%,C,,,
,OFF-EN-10001453,939.09,0.04%,1974088.27,85.93%,C,,,
,OFF-AP-10003287,937.85,0.04%,1975026.12,85.98%,C,,,
,OFF-ST-10001476,937.46,0.04%,1975963.58,86.02%,C,,,
,FUR-BO-10001601,935.2,0.04%,1976898.78,86.06%,C,,,
,OFF-AP-10002578,929.48,0.04%,1977828.26,86.10%,C,,,
,TEC-AC-10001767,927.78,0.04%,1978756.04,86.14%,C,,,
,FUR-CH-10003956,922.74,0.04%,1979678.78,86.18%,C,,,
,FUR-TA-10004442,917.92,0.04%,1980596.7,86.22%,C,,,
,TEC-MA-10002859,917.9,0.04%,1981514.6,86.26%,C,,,
,TEC-PH-10003885,910.66,0.04%,1982425.26,86.30%,C,,,
,TEC-PH-10000215,908.7,0.04%,1983333.96,86.34%,C,,,
,TEC-PH-10002262,904.55,0.04%,1984238.51,86.38%,C,,,
,FUR-CH-10002304,901.51,0.04%,1985140.02,86.42%,C,,,
,OFF-BI-10001670,901.03,0.04%,1986041.05,86.45%,C,,,
,TEC-AC-10000158,899.75,0.04%,1986940.8,86.49%,C,,,
,OFF-ST-10003442,899.31,0.04%,1987840.11,86.53%,C,,,
,TEC-AC-10000358,888.97,0.04%,1988729.08,86.57%,C,,,
,TEC-AC-10002323,884,0.04%,1989613.08,86.61%,C,,,
,TEC-PH-10001433,882.1,0.04%,1990495.18,86.65%,C,,,
,FUR-CH-10001797,881.19,0.04%,1991376.37,86.69%,C,,,
,OFF-PA-10002254,881.1,0.04%,1992257.47,86.73%,C,,,
,OFF-PA-10003039,879.83,0.04%,1993137.3,86.76%,C,,,
,OFF-AR-10003373,873.64,0.04%,1994010.94,86.80%,C,,,
,OFF-ST-10003479,872.26,0.04%,1994883.2,86.84%,C,,,
,OFF-AP-10004708,867.76,0.04%,1995750.96,86.88%,C,,,
,FUR-FU-10001290,867.26,0.04%,1996618.22,86.92%,C,,,
,OFF-PA-10001144,865.49,0.04%,1997483.71,86.95%,C,,,
,OFF-ST-10003123,858.88,0.04%,1998342.59,86.99%,C,,,
,FUR-BO-10004409,858.86,0.04%,1999201.45,87.03%,C,,,
,OFF-PA-10000062,857.38,0.04%,2000058.83,87.07%,C,,,
,FUR-BO-10000711,851.76,0.04%,2000910.59,87.10%,C,,,
,OFF-ST-10003994,849.31,0.04%,2001759.9,87.14%,C,,,
,TEC-PH-10004093,846.22,0.04%,2002606.12,87.18%,C,,,
,TEC-PH-10002115,844.67,0.04%,2003450.79,87.21%,C,,,
,OFF-BI-10001543,842.16,0.04%,2004292.95,87.25%,C,,,
,FUR-FU-10001473,839.66,0.04%,2005132.61,87.29%,C,,,
,OFF-BI-10002133,834.6,0.04%,2005967.21,87.32%,C,,,
,TEC-PH-10003555,832.24,0.04%,2006799.45,87.36%,C,,,
,FUR-TA-10001857,828.1,0.04%,2007627.55,87.39%,C,,,
,OFF-ST-10002790,827.12,0.04%,2008454.67,87.43%,C,,,
,FUR-BO-10000112,825.17,0.04%,2009279.84,87.47%,C,,,
,OFF-AP-10002439,823.25,0.04%,2010103.09,87.50%,C,,,
,FUR-FU-10001185,822.74,0.04%,2010925.83,87.54%,C,,,
,FUR-CH-10004540,815.86,0.04%,2011741.69,87.57%,C,,,
,OFF-AP-10001391,812.16,0.04%,2012553.85,87.61%,C,,,
,TEC-PH-10002538,803.69,0.03%,2013357.54,87.64%,C,,,
,FUR-CH-10004754,803.47,0.03%,2014161.01,87.68%,C,,,
,FUR-BO-10003894,802.07,0.03%,2014963.08,87.71%,C,,,
,TEC-AC-10001714,789.82,0.03%,2015752.9,87.75%,C,,,
,FUR-FU-10003930,786.9,0.03%,2016539.8,87.78%,C,,,
,OFF-EN-10003055,783.61,0.03%,2017323.41,87.82%,C,,,
,OFF-BI-10001524,780.45,0.03%,2018103.86,87.85%,C,,,
,TEC-PH-10003931,779.87,0.03%,2018883.73,87.88%,C,,,
,TEC-AC-10004510,778.74,0.03%,2019662.47,87.92%,C,,,
,FUR-FU-10003268,775.61,0.03%,2020438.08,87.95%,C,,,
,TEC-AC-10001109,773.74,0.03%,2021211.82,87.99%,C,,,
,OFF-AP-10000240,770.11,0.03%,2021981.93,88.02%,C,,,
,OFF-PA-10000157,767.23,0.03%,2022749.16,88.05%,C,,,
,FUR-CH-10002774,764.69,0.03%,2023513.85,88.09%,C,,,
,FUR-FU-10002116,763.67,0.03%,2024277.52,88.12%,C,,,
,TEC-AC-10003023,759.94,0.03%,2025037.46,88.15%,C,,,
,OFF-AP-10001469,759.12,0.03%,2025796.58,88.19%,C,,,
,OFF-PA-10002581,755.91,0.03%,2026552.49,88.22%,C,,,
,FUR-BO-10002268,754.73,0.03%,2027307.22,88.25%,C,,,
,OFF-BI-10001989,753.19,0.03%,2028060.41,88.28%,C,,,
,TEC-PH-10002085,752.28,0.03%,2028812.69,88.32%,C,,,
,FUR-BO-10002824,748.86,0.03%,2029561.55,88.35%,C,,,
,TEC-PH-10001819,746.83,0.03%,2030308.38,88.38%,C,,,
,TEC-PH-10003171,746.17,0.03%,2031054.55,88.41%,C,,,
,OFF-PA-10003892,743.43,0.03%,2031797.98,88.45%,C,,,
,TEC-PH-10002923,739.81,0.03%,2032537.79,88.48%,C,,,
,OFF-AP-10002191,737.75,0.03%,2033275.54,88.51%,C,,,
,FUR-BO-10003660,729.23,0.03%,2034004.77,88.54%,C,,,
,TEC-PH-10003174,727.95,0.03%,2034732.72,88.57%,C,,,
,FUR-BO-10000468,723.85,0.03%,2035456.57,88.61%,C,,,
,TEC-MA-10001681,723.51,0.03%,2036180.08,88.64%,C,,,
,OFF-PA-10001954,721.74,0.03%,2036901.82,88.67%,C,,,
,TEC-AC-10001772,718.65,0.03%,2037620.47,88.70%,C,,,
,TEC-PH-10001198,709.92,0.03%,2038330.39,88.73%,C,,,
,OFF-ST-10003058,709.5,0.03%,2039039.89,88.76%,C,,,
,TEC-AC-10000865,708,0.03%,2039747.89,88.79%,C,,,
,FUR-CH-10003606,705.32,0.03%,2040453.21,88.82%,C,,,
,OFF-AR-10004022,705.2,0.03%,2041158.41,88.85%,C,,,
,OFF-BI-10003984,704.69,0.03%,2041863.1,88.88%,C,,,
,TEC-MA-10001695,703.71,0.03%,2042566.81,88.92%,C,,,
,FUR-FU-10004845,702.44,0.03%,2043269.25,88.95%,C,,,
,TEC-PH-10001924,699.9,0.03%,2043969.15,88.98%,C,,,
,OFF-BI-10003007,698.04,0.03%,2044667.19,89.01%,C,,,
,FUR-CH-10002044,694.2,0.03%,2045361.39,89.04%,C,,,
,OFF-AP-10003842,693.95,0.03%,2046055.34,89.07%,C,,,
,TEC-PH-10002564,689.78,0.03%,2046745.12,89.10%,C,,,
,TEC-PH-10000562,688.14,0.03%,2047433.26,89.13%,C,,,
,FUR-CH-10000553,685.59,0.03%,2048118.85,89.16%,C,,,
,OFF-PA-10003129,684.74,0.03%,2048803.59,89.19%,C,,,
,OFF-ST-10002276,683.55,0.03%,2049487.14,89.22%,C,,,
,FUR-FU-10001215,681.45,0.03%,2050168.59,89.25%,C,,,
,FUR-FU-10004973,678.25,0.03%,2050846.84,89.28%,C,,,
,OFF-AP-10002734,675.12,0.03%,2051521.96,89.31%,C,,,
,FUR-FU-10004006,673.87,0.03%,2052195.83,89.33%,C,,,
,OFF-AR-10004010,671.8,0.03%,2052867.63,89.36%,C,,,
,OFF-BI-10004492,669.5,0.03%,2053537.13,89.39%,C,,,
,OFF-BI-10003364,667.99,0.03%,2054205.12,89.42%,C,,,
,OFF-AP-10003040,665.68,0.03%,2054870.8,89.45%,C,,,
,OFF-AP-10002867,664.83,0.03%,2055535.63,89.48%,C,,,
,OFF-BI-10004330,661.94,0.03%,2056197.57,89.51%,C,,,
,OFF-BI-10000666,653.99,0.03%,2056851.56,89.54%,C,,,
,FUR-TA-10001676,653.12,0.03%,2057504.68,89.57%,C,,,
,OFF-ST-10004950,652.62,0.03%,2058157.3,89.59%,C,,,
,OFF-PA-10001357,651.44,0.03%,2058808.74,89.62%,C,,,
,FUR-BO-10003450,649.38,0.03%,2059458.12,89.65%,C,,,
,TEC-MA-10001856,649,0.03%,2060107.12,89.68%,C,,,
,OFF-AP-10001124,647.84,0.03%,2060754.96,89.71%,C,,,
,OFF-LA-10002762,639.03,0.03%,2061393.99,89.74%,C,,,
,FUR-TA-10004767,638.82,0.03%,2062032.81,89.76%,C,,,
,FUR-FU-10001876,636.61,0.03%,2062669.42,89.79%,C,,,
,OFF-EN-10001434,632.52,0.03%,2063301.94,89.82%,C,,,
,TEC-AC-10003590,626.53,0.03%,2063928.47,89.85%,C,,,
,TEC-PH-10004080,625.5,0.03%,2064553.97,89.87%,C,,,
,OFF-PA-10001736,623.74,0.03%,2065177.71,89.90%,C,,,
,TEC-AC-10002550,619.42,0.03%,2065797.13,89.93%,C,,,
,OFF-AR-10001044,618.56,0.03%,2066415.69,89.95%,C,,,
,TEC-PH-10001527,618.48,0.03%,2067034.17,89.98%,C,,,
,OFF-PA-10004039,615.78,0.03%,2067649.95,90.01%,C,,,
,OFF-PA-10004475,615.55,0.03%,2068265.5,90.03%,C,,,
,OFF-ST-10000943,614.05,0.03%,2068879.55,90.06%,C,,,
,OFF-ST-10000777,611.72,0.03%,2069491.27,90.09%,C,,,
,OFF-BI-10002854,611.05,0.03%,2070102.32,90.11%,C,,,
,OFF-EN-10002831,610.98,0.03%,2070713.3,90.14%,C,,,
,TEC-PH-10003092,607.06,0.03%,2071320.36,90.17%,C,,,
,TEC-PH-10002597,604.75,0.03%,2071925.11,90.19%,C,,,
,OFF-PA-10004327,603.54,0.03%,2072528.65,90.22%,C,,,
,FUR-CH-10002780,600.46,0.03%,2073129.11,90.25%,C,,,
,TEC-MA-10004626,600,0.03%,2073729.11,90.27%,C,,,
,TEC-PH-10001448,599.88,0.03%,2074328.99,90.30%,C,,,
,OFF-ST-10000934,598.31,0.03%,2074927.3,90.32%,C,,,
,TEC-MA-10003674,597.13,0.03%,2075524.43,90.35%,C,,,
,OFF-PA-10002923,597.06,0.03%,2076121.49,90.38%,C,,,
,TEC-PH-10003357,596.62,0.03%,2076718.11,90.40%,C,,,
,OFF-PA-10002222,593.84,0.03%,2077311.95,90.43%,C,,,
,TEC-AC-10001114,591.85,0.03%,2077903.8,90.45%,C,,,
,TEC-PH-10000675,590.34,0.03%,2078494.14,90.48%,C,,,
,OFF-PA-10001790,586.09,0.03%,2079080.23,90.50%,C,,,
,OFF-BI-10003982,583.64,0.03%,2079663.87,90.53%,C,,,
,TEC-AC-10000991,582.68,0.03%,2080246.55,90.56%,C,,,
,OFF-ST-10000676,581.58,0.03%,2080828.13,90.58%,C,,,
,FUR-FU-10001986,581.17,0.03%,2081409.3,90.61%,C,,,
,TEC-MA-10001016,575.82,0.03%,2081985.12,90.63%,C,,,
,OFF-PA-10003790,575.57,0.03%,2082560.69,90.66%,C,,,
,FUR-FU-10004748,575.46,0.03%,2083136.15,90.68%,C,,,
,OFF-LA-10001474,573.96,0.02%,2083710.11,90.71%,C,,,
,OFF-AR-10002240,573.65,0.02%,2084283.76,90.73%,C,,,
,OFF-PA-10002319,573.65,0.02%,2084857.41,90.76%,C,,,
,TEC-PH-10000011,571.71,0.02%,2085429.12,90.78%,C,,,
,TEC-AC-10004595,571.2,0.02%,2086000.32,90.81%,C,,,
,OFF-EN-10002504,570.77,0.02%,2086571.09,90.83%,C,,,
,OFF-BI-10003876,569.24,0.02%,2087140.33,90.86%,C,,,
,OFF-AR-10003903,565.39,0.02%,2087705.72,90.88%,C,,,
,TEC-AC-10003280,563.81,0.02%,2088269.53,90.90%,C,,,
,FUR-FU-10003975,563.03,0.02%,2088832.56,90.93%,C,,,
,OFF-AP-10000159,558.74,0.02%,2089391.3,90.95%,C,,,
,TEC-AC-10000057,557.81,0.02%,2089949.11,90.98%,C,,,
,TEC-AC-10002006,556.45,0.02%,2090505.56,91.00%,C,,,
,OFF-BI-10001765,554.24,0.02%,2091059.8,91.03%,C,,,
,OFF-EN-10000927,552.7,0.02%,2091612.5,91.05%,C,,,
,TEC-AC-10001874,551.9,0.02%,2092164.4,91.07%,C,,,
,FUR-FU-10002759,551.46,0.02%,2092715.86,91.10%,C,,,
,TEC-AC-10004901,549.88,0.02%,2093265.74,91.12%,C,,,
,OFF-AP-10004336,546.82,0.02%,2093812.56,91.15%,C,,,
,FUR-FU-10001602,546.19,0.02%,2094358.75,91.17%,C,,,
,TEC-PH-10001468,546.06,0.02%,2094904.81,91.19%,C,,,
,OFF-BI-10002794,545.03,0.02%,2095449.84,91.22%,C,,,
,TEC-AC-10003399,543.6,0.02%,2095993.44,91.24%,C,,,
,OFF-PA-10001019,543.46,0.02%,2096536.9,91.26%,C,,,
,TEC-PH-10001552,542.99,0.02%,2097079.89,91.29%,C,,,
,FUR-BO-10002853,540.8,0.02%,2097620.69,91.31%,C,,,
,OFF-PA-10003656,538.15,0.02%,2098158.84,91.34%,C,,,
,TEC-AC-10003116,536.05,0.02%,2098694.89,91.36%,C,,,
,FUR-FU-10004018,536.04,0.02%,2099230.93,91.38%,C,,,
,OFF-AR-10004602,533.36,0.02%,2099764.29,91.41%,C,,,
,TEC-AC-10001013,533.07,0.02%,2100297.36,91.43%,C,,,
,OFF-BI-10003684,532.16,0.02%,2100829.52,91.45%,C,,,
,FUR-FU-10003535,531.95,0.02%,2101361.47,91.47%,C,,,
,OFF-AR-10002067,531.71,0.02%,2101893.18,91.50%,C,,,
,OFF-PA-10004353,527.47,0.02%,2102420.65,91.52%,C,,,
,OFF-BI-10002429,526.61,0.02%,2102947.26,91.54%,C,,,
,OFF-AR-10003582,523.59,0.02%,2103470.85,91.57%,C,,,
,OFF-ST-10003641,520.08,0.02%,2103990.93,91.59%,C,,,
,FUR-TA-10001866,519.94,0.02%,2104510.87,91.61%,C,,,
,OFF-ST-10000636,518.94,0.02%,2105029.81,91.63%,C,,,
,OFF-ST-10001321,518.11,0.02%,2105547.92,91.66%,C,,,
,OFF-LA-10003923,518,0.02%,2106065.92,91.68%,C,,,
,OFF-ST-10001590,517.63,0.02%,2106583.55,91.70%,C,,,
,OFF-PA-10002120,516.62,0.02%,2107100.17,91.72%,C,,,
,TEC-PH-10004912,516.53,0.02%,2107616.7,91.75%,C,,,
,OFF-AP-10002350,516.22,0.02%,2108132.92,91.77%,C,,,
,TEC-PH-10004896,515.83,0.02%,2108648.75,91.79%,C,,,
,OFF-AP-10001154,515.79,0.02%,2109164.54,91.81%,C,,,
,FUR-FU-10004952,514.56,0.02%,2109679.1,91.84%,C,,,
,FUR-FU-10000758,513.72,0.02%,2110192.82,91.86%,C,,,
,OFF-PA-10000176,512.2,0.02%,2110705.02,91.88%,C,,,
,OFF-AR-10001955,511.87,0.02%,2111216.89,91.90%,C,,,
,FUR-FU-10003623,508.73,0.02%,2111725.62,91.93%,C,,,
,TEC-MA-10001031,506.28,0.02%,2112231.9,91.95%,C,,,
,OFF-BI-10001510,504.25,0.02%,2112736.15,91.97%,C,,,
,TEC-AC-10002335,503.86,0.02%,2113240.01,91.99%,C,,,
,TEC-AC-10000023,503.28,0.02%,2113743.29,92.01%,C,,,
,OFF-PA-10003823,501.88,0.02%,2114245.17,92.04%,C,,,
